ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): WEST VIRGINIA

School Name,State Name [Public School] Latest available year,School ID (7-digit) – NCES Assigned [Public School] 2024-25,School ID (7-digit) – NCES Assigned [Public School] 2023-24,School ID (7-digit) – NCES Assigned [Public School] 2022-23,School ID (7-digit) – NCES Assigned [Public School] 2021-22,School ID (7-digit) – NCES Assigned [Public School] 2020-21,School ID (7-digit) – NCES Assigned [Public School] 2019-20,School ID (7-digit) – NCES Assigned [Public School] 2018-19,School ID (7-digit) – NCES Assigned [Public School] 2017-18,School ID (7-digit) – NCES Assigned [Public School] 2016-17,School ID (7-digit) – NCES Assigned [Public School] 2015-16,School ID (7-digit) – NCES Assigned [Public School] 2014-15,School Name [Public School] 2024-25,Agency Name [Public School] 2024-25,County Name [Public School] 2024-25,Start of Year Status [Public School] 2024-25,Start of Year Status [Public School] 2023-24,Start of Year Status [Public School] 2022-23,Start of Year Status [Public School] 2021-22,Start of Year Status [Public School] 2020-21,Start of Year Status [Public School] 2019-20,Start of Year Status [Public School] 2018-19,Start of Year Status [Public School] 2017-18,Start of Year Status [Public School] 2016-17,Start of Year Status [Public School] 2015-16,Start of Year Status [Public School] 2014-15,Updated Status [Public School] 2024-25,Updated Status [Public School] 2023-24,Updated Status [Public School] 2022-23,Updated Status [Public School] 2021-22,Updated Status [Public School] 2020-21,Updated Status [Public School] 2019-20,Updated Status [Public School] 2018-19,Updated Status [Public School] 2017-18,Updated Status [Public School] 2016-17,Updated Status [Public School] 2015-16,Updated Status [Public School] 2014-15,Effective Date of Updated Status [Public School] 2024-25,Effective Date of Updated Status [Public School] 2023-24,Effective Date of Updated Status [Public School] 2022-23,Effective Date of Updated Status [Public School] 2021-22,Effective Date of Updated Status [Public School] 2020-21,Effective Date of Updated Status [Public School] 2019-20,Effective Date of Updated Status [Public School] 2018-19,Effective Date of Updated Status [Public School] 2017-18,Effective Date of Updated Status [Public School] 2016-17,Effective Date of Updated Status [Public School] 2015-16,Effective Date of Updated Status [Public School] 2014-15,Latitude [Public School] 2024-25,Latitude [Public School] 2023-24,Latitude [Public School] 2022-23,Latitude [Public School] 2021-22,Latitude [Public School] 2020-21,Latitude [Public School] 2019-20,Latitude [Public School] 2018-19,Latitude [Public School] 2017-18,Latitude [Public School] 2016-17,Latitude [Public School] 2015-16,Latitude [Public School] 2014-15,Longitude [Public School] 2024-25,Longitude [Public School] 2023-24,Longitude [Public School] 2022-23,Longitude [Public School] 2021-22,Longitude [Public School] 2020-21,Longitude [Public School] 2019-20,Longitude [Public School] 2018-19,Longitude [Public School] 2017-18,Longitude [Public School] 2016-17,Longitude [Public School] 2015-16,Longitude [Public School] 2014-15
ASHFORD-RUMBLE ELEMENTARY,West Virginia,5400035,5400035,5400035,5400035,5400035,5400035,5400035,5400035,5400035,5400035,5400035,Ashford-rumble Elementary,Boone County Schools,Boone County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:12:16 ,38.183663,38.183663,38.183663,38.183663,38.183663,38.183663,38.183663,38.183663,38.183663,38.183989,38.183989,-81.700696,-81.700696,-81.700696,-81.700696,-81.700696,-81.700696,-81.700696,-81.700696,-81.700696,-81.697660,-81.697660
ASHTON ELEMENTARY SCHOOL,West Virginia,5401505,5401505,5401505,5401505,5401505,5401505,5401505,5401505,5401505,5401505,5401505,Ashton Elementary School,Mason County Schools,Mason County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:27 ,38.625316,38.625316,38.625316,38.625316,38.625316,38.625316,38.625316,38.625316,38.625316,38.615345,38.615345,-82.155516,-82.155516,-82.155516,-82.155516,-82.155516,-82.155516,-82.155516,-82.155516,-82.155516,-82.138270,-82.138270
ATHENS ELEMENTARY SCHOOL,West Virginia,5400672,5400672,5400672,5400672,5400672,5400672,5400672,5400672,5400672,5400672,5400672,Athens Elementary School,Mercer County Schools,Mercer County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:31 ,37.421893,37.421893,37.421893,37.421893,37.421893,37.421893,37.421893,37.421893,37.421893,37.420773,37.420773,-81.015359,-81.015359,-81.015359,-81.015359,-81.015359,-81.015359,-81.015359,-81.015359,-81.015359,-81.015139,-81.015139
AUGUSTA ELEMENTARY SCHOOL,West Virginia,†,5401232,5401232,5401232,5401232,5401232,5401232,5401232,5401232,5401232,5401232,†,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:13:19 ,†,39.292994,39.292994,39.292994,39.292994,39.292994,39.292994,39.292994,39.292994,39.293420,39.293160,†,-78.640513,-78.640513,-78.640513,-78.640513,-78.640513,-78.640513,-78.640513,-78.640513,-78.640464,-78.640334
AURORA SCHOOL,West Virginia,5401358,5401358,5401358,5401358,5401358,5401358,5401358,5401358,5401358,5401358,5401358,Aurora School,Preston County Schools,Preston County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:16:44 ,39.323677,39.323677,39.323677,39.323677,39.323677,39.323677,39.323677,39.323677,39.323677,39.326090,39.323583,-79.550324,-79.550324,-79.550324,-79.550324,-79.550324,-79.550324,-79.550324,-79.550324,-79.550324,-79.553894,-79.550327
B-U MIDDLE SCHOOL,West Virginia,5401077,5401077,5401077,5401077,5401077,5401077,5401077,5401077,5401077,5401077,5401077,B-U Middle School,Upshur County Schools,Upshur County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:17:46 ,38.970740,38.970740,38.970740,38.970740,38.970740,38.970740,38.970740,38.970740,38.970740,38.971237,38.970740,-80.231128,-80.231128,-80.231128,-80.231128,-80.231128,-80.231128,-80.231128,-80.231128,-80.231128,-80.231912,-80.231128
BACK CREEK VALLEY ELEMENTARY SCHOOL,West Virginia,5400012,5400012,5400012,5400012,5400012,5400012,5400012,5400012,5400012,5400012,5400012,Back Creek Valley Elementary School,Berkeley County Schools,Berkeley County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:11:58 ,39.407058,39.407058,39.407058,39.407058,39.407058,39.407058,39.407058,39.407058,39.407058,39.407293,39.407293,-78.148044,-78.148044,-78.148044,-78.148044,-78.148044,-78.148044,-78.148044,-78.148044,-78.148044,-78.148387,-78.148387
BAILEYSVILLE ELEMENTARY & MIDDLE SCHOOL,West Virginia,5401191,5401191,5401191,5401191,5401191,5401191,5401191,5401191,5401191,5401191,5401191,Baileysville Elementary & Middle School,Wyoming County Schools,Wyoming County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:18:25 ,37.590409,37.590409,37.590409,37.590409,37.590409,37.590409,37.590409,37.590409,37.590409,37.590409,37.589052,-81.673184,-81.673184,-81.673184,-81.673184,-81.673184,-81.673184,-81.673184,-81.673184,-81.673184,-81.673184,-81.672427
BARBOURSVILLE MIDDLE SCHOOL,West Virginia,5400091,5400091,5400091,5400091,5400091,5400091,5400091,5400091,5400091,5400091,5400091,Barboursville Middle School,Cabell County Schools,Cabell County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:12:45 ,38.403525,38.403525,38.403525,38.403525,38.403525,38.403525,38.403525,38.403525,38.407516,38.410190,38.410190,-82.294360,-82.294360,-82.294360,-82.294360,-82.294360,-82.294360,-82.294360,-82.294360,-82.296729,-82.294628,-82.294628
BARBOURSVILLE SCHOOL,West Virginia,†,†,†,5400110,5400110,5400110,5400110,5400110,5400110,5400110,5400110,†,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,†,†,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:13:48 ,†,†,†,38.389077,38.389077,38.389077,38.389077,38.389077,38.403035,38.403468,38.403468,†,†,†,-82.302651,-82.302651,-82.302651,-82.302651,-82.302651,-82.294443,-82.295203,-82.295203
BARNES LEARNING CENTER (ALC),West Virginia,5400997,5400997,5400997,5400997,5400997,5400997,5400997,5400997,5400997,5400997,5400997,Barnes Learning Center (ALC),Marion County Schools,Marion County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:18 ,39.501129,39.501129,39.501129,39.501129,39.501129,39.501129,39.501129,39.501129,39.500945,39.500945,39.500945,-80.137043,-80.137043,-80.137043,-80.137043,-80.137043,-80.137043,-80.137043,-80.137043,-80.136850,-80.136850,-80.136850
BARRACKVILLE ELEMENTARY/MIDDLE SCHOOL,West Virginia,5400542,5400542,5400542,5400542,5400542,5400542,5400542,5400542,5400542,5400542,5400542,Barrackville Elementary/Middle School,Marion County Schools,Marion County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:08 ,39.501993,39.501993,39.501993,39.501993,39.501993,39.501993,39.501993,39.501993,39.501993,39.502132,39.502132,-80.166088,-80.166088,-80.166088,-80.166088,-80.166088,-80.166088,-80.166088,-80.166088,-80.166088,-80.165822,-80.165822
BEALE ELEMENTARY SCHOOL,West Virginia,5400609,5400609,5400609,5400609,5400609,5400609,5400609,5400609,5400609,5400609,5400609,Beale Elementary School,Mason County Schools,Mason County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:25 ,38.766245,38.766245,38.766245,38.766245,38.766245,38.766245,38.766245,38.766245,38.765939,38.765939,38.765939,-82.195622,-82.195622,-82.195622,-82.195622,-82.195622,-82.195622,-82.195622,-82.195622,-82.195773,-82.195773,-82.195773
BECKLEY CENTER,West Virginia,†,†,†,5401130,5401130,5401130,5401130,5401130,5401130,5401130,5401130,†,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,†,†,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:13:55 ,†,†,†,37.825144,37.825144,37.825144,37.825144,37.825144,37.825094,37.825004,37.825004,†,†,†,-81.193395,-81.193395,-81.193395,-81.193395,-81.193395,-81.193373,-81.194042,-81.194042
BECKLEY ELEMENTARY,West Virginia,5401176,5401176,5401176,5401176,5401176,5401176,5401176,5401176,5401176,5401176,5401176,Beckley Elementary,Raleigh County Schools,Raleigh County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:17:11 ,37.783134,37.783134,37.783134,37.783134,37.783134,37.783134,37.783134,37.783134,37.783134,37.783134,37.783134,-81.155079,-81.155079,-81.155079,-81.155079,-81.155079,-81.155079,-81.155079,-81.155079,-81.155079,-81.155079,-81.155079
BECKLEY-STRATTON MIDDLE SCHOOL,West Virginia,5400940,5400940,5400940,5400940,5400940,5400940,5400940,5400940,5400940,5400940,5400940,Beckley-Stratton Middle School,Raleigh County Schools,Raleigh County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:17:14 ,37.785036,37.785036,37.785036,37.785036,37.785036,37.785036,37.785036,37.785036,37.779386,37.779682,37.779682,-81.155107,-81.155107,-81.155107,-81.155107,-81.155107,-81.155107,-81.155107,-81.155107,-81.163147,-81.161644,-81.161644
BEDINGTON ELEMENTARY SCHOOL,West Virginia,5400013,5400013,5400013,5400013,5400013,5400013,5400013,5400013,5400013,5400013,5400013,Bedington Elementary School,Berkeley County Schools,Berkeley County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:11:58 ,39.525858,39.525858,39.525858,39.525858,39.525858,39.525858,39.525858,39.525858,39.525858,39.525822,39.525822,-77.916933,-77.916933,-77.916933,-77.916933,-77.916933,-77.916933,-77.916933,-77.916933,-77.916933,-77.916753,-77.916753
BEECH BOTTOM PRIMARY,West Virginia,†,†,†,†,†,†,†,5400072,5400072,5400072,5400072,†,†,†,†,†,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,†,†,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,†,†,†,†,†,†,†,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:12:28 ,†,†,†,†,†,†,†,40.225793,40.225793,40.225829,40.225829,†,†,†,†,†,†,†,-80.651121,-80.651121,-80.650912,-80.650912
BELINGTON ELEMENTARY,West Virginia,5400001,5400001,5400001,5400001,5400001,5400001,5400001,5400001,5400001,5400001,5400001,Belington Elementary,Barbour County Schools,Barbour County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:11:53 ,39.032069,39.032069,39.032069,39.032069,39.032069,39.032069,39.032069,39.032069,39.032069,39.032069,39.032069,-79.925964,-79.925964,-79.925964,-79.925964,-79.925964,-79.925964,-79.925964,-79.925964,-79.925964,-79.925964,-79.925964
BELINGTON MIDDLE SCHOOL,West Virginia,5400002,5400002,5400002,5400002,5400002,5400002,5400002,5400002,5400002,5400002,5400002,Belington Middle School,Barbour County Schools,Barbour County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:11:56 ,39.033387,39.033387,39.033387,39.033387,39.033387,39.033387,39.033387,39.033387,39.033374,39.033450,39.033374,-79.925713,-79.925713,-79.925713,-79.925713,-79.925713,-79.925713,-79.925713,-79.925713,-79.925315,-79.925721,-79.925315
BELLE ELEMENTARY SCHOOL,West Virginia,5400359,5400359,5400359,5400359,5400359,5400359,5400359,5400359,5400359,5400359,5400359,Belle Elementary School,Kanawha County Schools,Kanawha County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:16 ,38.232818,38.232818,38.232818,38.232818,38.232818,38.232818,38.232818,38.232818,38.232818,38.232851,38.232851,-81.539664,-81.539664,-81.539664,-81.539664,-81.539664,-81.539664,-81.539664,-81.539664,-81.539664,-81.539850,-81.539850
BELMONT ELEMENTARY SCHOOL,West Virginia,5401265,5401265,5401265,5401265,5401265,5401265,5401265,5401265,5401265,5401265,5401265,Belmont Elementary School,Pleasants County Schools,Pleasants County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:16:39 ,39.377888,39.377888,39.377888,39.377888,39.377888,39.377888,39.377888,39.377888,39.377888,39.377727,39.377727,-81.264296,-81.264296,-81.264296,-81.264296,-81.264296,-81.264296,-81.264296,-81.264296,-81.264296,-81.263469,-81.263469
BEN FRANKLIN CAREER CENTER,West Virginia,5400361,5400361,5400361,5400361,5400361,5400361,5400361,5400361,5400361,5400361,5400361,Ben Franklin Career Center,Kanawha County Schools,Kanawha County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:49 ,38.367846,38.367846,38.367846,38.367846,38.367846,38.367846,38.367846,38.367846,38.367846,38.367444,38.367444,-81.753740,-81.753740,-81.753740,-81.753740,-81.753740,-81.753740,-81.753740,-81.753740,-81.753740,-81.754139,-81.754139
BERKELEY HEIGHTS ELEMENTARY SCHOOL,West Virginia,5401222,5401222,5401222,5401222,5401222,5401222,5401222,5401222,5401222,5401222,5401222,Berkeley Heights Elementary School,Berkeley County Schools,Berkeley County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:11:59 ,39.444713,39.444713,39.444713,39.444713,39.444713,39.444713,39.444713,39.444713,39.444713,39.444713,39.444713,-77.965989,-77.965989,-77.965989,-77.965989,-77.965989,-77.965989,-77.965989,-77.965989,-77.965989,-77.965989,-77.965989
BERKELEY SPRINGS HIGH SCHOOL,West Virginia,5400819,5400819,5400819,5400819,5400819,5400819,5400819,5400819,5400819,5400819,5400819,Berkeley Springs High School,Morgan County Schools,Morgan County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:16:15 ,39.618088,39.618088,39.618088,39.618088,39.618088,39.618088,39.618088,39.618088,39.618088,39.617956,39.617956,-78.232457,-78.232457,-78.232457,-78.232457,-78.232457,-78.232457,-78.232457,-78.232457,-78.232457,-78.232485,-78.232485
BERLIN MCKINNEY ELEMENTARY SCHOOL,West Virginia,5401274,5401274,5401274,5401274,5401274,5401274,5401274,5401274,5401274,5401274,5401274,Berlin McKinney Elementary School,Wyoming County Schools,Wyoming County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:18:25 ,37.687777,37.687777,37.687777,37.687777,37.687777,37.687777,37.687777,37.687777,37.687777,37.687777,37.687777,-81.624282,-81.624282,-81.624282,-81.624282,-81.624282,-81.624282,-81.624282,-81.624282,-81.624282,-81.624282,-81.624282
BETHLEHEM ELEMENTARY SCHOOL,West Virginia,5400853,5400853,5400853,5400853,5400853,5400853,5400853,5400853,5400853,5400853,5400853,Bethlehem Elementary School,Ohio County Schools,Ohio County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:16:30 ,40.044877,40.044877,40.044877,40.044877,40.044877,40.044877,40.044877,40.044877,40.044877,40.045001,40.045001,-80.691901,-80.691901,-80.691901,-80.691901,-80.691901,-80.691901,-80.691901,-80.691901,-80.691901,-80.692301,-80.692301
BEVERLY ELEMENTARY SCHOOL,West Virginia,5400992,5400992,5400992,5400992,5400992,5400992,5400992,5400992,5400992,5400992,5400992,Beverly Elementary School,Randolph County Schools,Randolph County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:17:20 ,38.843368,38.843368,38.843368,38.843368,38.843368,38.843368,38.843368,38.843368,38.843319,38.843319,38.843319,-79.872389,-79.872389,-79.872389,-79.872389,-79.872389,-79.872389,-79.872389,-79.872389,-79.872092,-79.872092,-79.872092
BIG ELM ELEMENTARY SCHOOL,West Virginia,5400586,5400586,5400586,5400586,5400586,5400586,5400586,5400586,5400586,5400586,5400586,Big Elm Elementary School,Harrison County Schools,Harrison County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:13:37 ,39.405025,39.405025,39.405025,39.405025,39.405025,39.405025,39.405025,39.405025,39.405025,39.405025,39.405025,-80.285843,-80.285843,-80.285843,-80.285843,-80.285843,-80.285843,-80.285843,-80.285843,-80.285843,-80.285843,-80.285843
BIG OTTER ELEMENTARY SCHOOL,West Virginia,5401467,5401467,5401467,5401467,5401467,5401467,5401467,5401467,5401467,5401467,5401467,Big Otter Elementary School,Clay County Schools,Clay County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:12:53 ,38.587073,38.587073,38.587073,38.587073,38.587073,38.587073,38.587073,38.587073,38.587073,38.584513,38.587490,-81.034184,-81.034184,-81.034184,-81.034184,-81.034184,-81.034184,-81.034184,-81.034184,-81.034184,-81.035049,-81.034320
